Train - Epoch 9/50, Avg Loss: 0.1519746825961042, Accuracy: 0.9680426112516005, Recall: 0.7591938032175175, Precision: 0.7894801371845579, F1: 0.7657969398973815
Valid - Epoch 9/50, Avg Loss: 0.13427338483078138, Accuracy: 0.968481531061772, Recall: 0.7610437527369535, Precision: 0.7946481747973007, F1: 0.7688652827123029
Train - Epoch 10/50, Avg Loss: 0.14270819052438105, Accuracy: 0.9694385224235622, Recall: 0.7717878588023727, Precision: 0.7934496084154001, F1: 0.7759443860945214
Valid - Epoch 10/50, Avg Loss: 0.1306938332106386, Accuracy: 0.9696533970173177, Recall: 0.7737098935683688, Precision: 0.7961099942150022, F1: 0.7783072666436519
Train - Epoch 11/50, Avg Loss: 0.13533304477772437, Accuracy: 0.9704501511668379, Recall: 0.7875080849149934, Precision: 0.801806120932493, F1: 0.790455447547064
Valid - Epoch 11/50, Avg Loss: 0.12929248437285423, Accuracy: 0.9708257354994583, Recall: 0.7871961125790025, Precision: 0.806691626846656, F1: 0.7922614133117647
Train - Epoch 12/50, Avg Loss: 0.1306922461006267, Accuracy: 0.971291162711585, Recall: 0.7949152518070539, Precision: 0.8077911871614581, F1: 0.7977781730823454
Valid - Epoch 12/50, Avg Loss: 0.12139320001006126, Accuracy: 0.971391349833647, Recall: 0.7959426885738163, Precision: 0.8096063766769075, F1: 0.798963920830679
Train - Epoch 13/50, Avg Loss: 0.12463322608185208, Accuracy: 0.9724051617739778, Recall: 0.8054339247885269, Precision: 0.8119366178546868, F1: 0.8059228082913836
Valid - Epoch 13/50, Avg Loss: 0.1210324860044888, Accuracy: 0.972492336799946, Recall: 0.8065337352083293, Precision: 0.8142426053542359, F1: 0.8077130023210818
Train - Epoch 14/50, Avg Loss: 0.11981206184083765, Accuracy: 0.9729894600569389, Recall: 0.8129447658853767, Precision: 0.8140185779972263, F1: 0.8113592068959609
Valid - Epoch 14/50, Avg Loss: 0.12078354081937245, Accuracy: 0.9732053794317679, Recall: 0.8109227463228053, Precision: 0.8185211479275192, F1: 0.8122238587594751
Train - Epoch 15/50, Avg Loss: 0.11556442937821396, Accuracy: 0.9736021070436555, Recall: 0.8213165552433491, Precision: 0.8210668316055915, F1: 0.8195038068596485
Valid - Epoch 15/50, Avg Loss: 0.11856927137289729, Accuracy: 0.9737681586063868, Recall: 0.8202680078774772, Precision: 0.8246968939529237, F1: 0.820660773958946
Train - Epoch 16/50, Avg Loss: 0.11220576330896251, Accuracy: 0.9743365484613216, Recall: 0.8272561820569486, Precision: 0.8235667435495796, F1: 0.8242114188920145
Valid - Epoch 16/50, Avg Loss: 0.117264024913311, Accuracy: 0.9736481368512623, Recall: 0.8302107642815919, Precision: 0.8187837619265907, F1: 0.8235295889311163
Train - Epoch 17/50, Avg Loss: 0.10871445144380419, Accuracy: 0.9749943433836488, Recall: 0.8336603356123663, Precision: 0.8275112586060415, F1: 0.8295145630620699
Valid - Epoch 17/50, Avg Loss: 0.11313345762235778, Accuracy: 0.9747335304399269, Recall: 0.8346271335939471, Precision: 0.8260241465968147, F1: 0.8294477133426728
Train - Epoch 18/50, Avg Loss: 0.10472789348280134, Accuracy: 0.9754657718275832, Recall: 0.8407328027263068, Precision: 0.8316429129732498, F1: 0.8352321062303191
Valid - Epoch 18/50, Avg Loss: 0.10989531023161751, Accuracy: 0.9754839026727522, Recall: 0.8407341066163265, Precision: 0.8322810205190326, F1: 0.8356493542568081
Train - Epoch 19/50, Avg Loss: 0.10210242993698633, Accuracy: 0.9760463952785758, Recall: 0.8433573352117499, Precision: 0.8340182391850544, F1: 0.8377598443933307
Valid - Epoch 19/50, Avg Loss: 0.1093336854662214, Accuracy: 0.9758061658105273, Recall: 0.8447683318977033, Precision: 0.8322206420580963, F1: 0.837827278672226
Train - Epoch 20/50, Avg Loss: 0.09805123840481782, Accuracy: 0.9766427680094327, Recall: 0.8505834903111394, Precision: 0.8356907993956196, F1: 0.8424898453102267
Valid - Epoch 20/50, Avg Loss: 0.11156236007809639, Accuracy: 0.9765886698518109, Recall: 0.8492143235466315, Precision: 0.8369929333474943, F1: 0.8425244323243678
Train - Epoch 21/50, Avg Loss: 0.09621956365660203, Accuracy: 0.9770769231576886, Recall: 0.8553207835958382, Precision: 0.8414257806267577, F1: 0.847783488484386
Valid - Epoch 21/50, Avg Loss: 0.1081611615206514, Accuracy: 0.9768178452503753, Recall: 0.8546235805170511, Precision: 0.8401664810193878, F1: 0.8468015911768214
Train - Epoch 22/50, Avg Loss: 0.09332261591657134, Accuracy: 0.9773336364194747, Recall: 0.8584366365065241, Precision: 0.8407465890885292, F1: 0.8489987352300661
Valid - Epoch 22/50, Avg Loss: 0.10866958541529519, Accuracy: 0.9770867128829178, Recall: 0.856872041797093, Precision: 0.8402018589648371, F1: 0.8479761335597269
Train - Epoch 23/50, Avg Loss: 0.09113827009092677, Accuracy: 0.9781310749565976, Recall: 0.862938703454514, Precision: 0.8469876957277986, F1: 0.8543496118820016
Valid - Epoch 23/50, Avg Loss: 0.10987730643578938, Accuracy: 0.9779514365517277, Recall: 0.8614138489667217, Precision: 0.8471576350589963, F1: 0.8537374988359392
Train - Epoch 24/50, Avg Loss: 0.0891517826533022, Accuracy: 0.9784350360579762, Recall: 0.8650054461915979, Precision: 0.8468504279438921, F1: 0.8553628141974862
Valid - Epoch 24/50, Avg Loss: 0.10570512605564934, Accuracy: 0.9780809088387518, Recall: 0.8644557585531545, Precision: 0.8451073354652986, F1: 0.854248174918674
Train - Epoch 25/50, Avg Loss: 0.08659333178450253, Accuracy: 0.9788397925504856, Recall: 0.8677572993083343, Precision: 0.8485071482470378, F1: 0.8576573836524755
Valid - Epoch 25/50, Avg Loss: 0.1094316127044814, Accuracy: 0.9785680837581742, Recall: 0.8660592788608884, Precision: 0.8473572200346698, F1: 0.8563166952450816
Train - Epoch 26/50, Avg Loss: 0.08490396007772319, Accuracy: 0.979188901587475, Recall: 0.8742389963807379, Precision: 0.8520493252347893, F1: 0.8625670557079054
Valid - Epoch 26/50, Avg Loss: 0.11019421741366386, Accuracy: 0.978957918199031, Recall: 0.8709968206117864, Precision: 0.8515023454458264, F1: 0.8607447755802188
Train - Epoch 27/50, Avg Loss: 0.08245275348178611, Accuracy: 0.9797978737422232, Recall: 0.8768187215163975, Precision: 0.8552905265002113, F1: 0.8656155716227055
Valid - Epoch 27/50, Avg Loss: 0.1075841976063592, Accuracy: 0.9793756317089917, Recall: 0.8740412272509834, Precision: 0.8539386539230621, F1: 0.8635157229600665
Train - Epoch 28/50, Avg Loss: 0.08087072850874633, Accuracy: 0.9800755860438282, Recall: 0.8790440948671406, Precision: 0.8573653050059595, F1: 0.867749342450847
Valid - Epoch 28/50, Avg Loss: 0.1065181733242103, Accuracy: 0.9796591476659785, Recall: 0.8762933065158216, Precision: 0.8558717521270973, F1: 0.8655749764556229
Train - Epoch 29/50, Avg Loss: 0.07967176891801771, Accuracy: 0.9802729770181259, Recall: 0.8814514749617053, Precision: 0.8580341455753439, F1: 0.8692703548090215
Valid - Epoch 29/50, Avg Loss: 0.10671244295580047, Accuracy: 0.9798684769475537, Recall: 0.8780137978500284, Precision: 0.8567345949780951, F1: 0.866905341212986
Train - Epoch 30/50, Avg Loss: 0.07873777247780611, Accuracy: 0.9804630183284869, Recall: 0.8815469602391449, Precision: 0.8594314484187737, F1: 0.8700270238800956
Valid - Epoch 30/50, Avg Loss: 0.11133499762841634, Accuracy: 0.9795726752990975, Recall: 0.880955582288967, Precision: 0.8511503350736449, F1: 0.8655120084548595
Train - Epoch 31/50, Avg Loss: 0.0787975509797246, Accuracy: 0.9802703521381485, Recall: 0.8814918259913768, Precision: 0.8602796479504102, F1: 0.8703823275959157
Valid - Epoch 31/50, Avg Loss: 0.10681549246822085, Accuracy: 0.979757433197734, Recall: 0.8801768348096842, Precision: 0.8557684208811888, F1: 0.8675194176264172
Train - Epoch 32/50, Avg Loss: 0.0741248353392132, Accuracy: 0.9814646725278486, Recall: 0.8897153869828268, Precision: 0.8643807979166265, F1: 0.8766299428721309
Valid - Epoch 32/50, Avg Loss: 0.10625148671013969, Accuracy: 0.98081069497794, Recall: 0.8871203279908368, Precision: 0.859635783923161, F1: 0.8729362242025515
Train - Epoch 33/50, Avg Loss: 0.07322951892683328, Accuracy: 0.9817917325730281, Recall: 0.8916736657234001, Precision: 0.8676435738212533, F1: 0.8792139696261112
Valid - Epoch 33/50, Avg Loss: 0.11077418125101499, Accuracy: 0.981286056732488, Recall: 0.8877320925311605, Precision: 0.8652781513769822, F1: 0.87610929647034
Train - Epoch 34/50, Avg Loss: 0.07161164465398828, Accuracy: 0.9819959482352669, Recall: 0.8948342902969316, Precision: 0.8682849980009898, F1: 0.8810663746966213
Valid - Epoch 34/50, Avg Loss: 0.1101977564394474, Accuracy: 0.9815398035139913, Recall: 0.8905109171014288, Precision: 0.8660129795122888, F1: 0.8778645523052034
Train - Epoch 35/50, Avg Loss: 0.07008428277432426, Accuracy: 0.9822306125052432, Recall: 0.8978495194038444, Precision: 0.8710380683563024, F1: 0.8839913652758294
Valid - Epoch 35/50, Avg Loss: 0.11280498813305583, Accuracy: 0.9817155834073231, Recall: 0.8923653421348426, Precision: 0.8694162799056365, F1: 0.8805272310118446
Train - Epoch 36/50, Avg Loss: 0.06870456033748043, Accuracy: 0.9825077998308527, Recall: 0.8997629390600167, Precision: 0.8700827240087635, F1: 0.884403632065461
Valid - Epoch 36/50, Avg Loss: 0.10705523565411568, Accuracy: 0.981891363300655, Recall: 0.8955046437608708, Precision: 0.8673831951637808, F1: 0.8809661699655934
Train - Epoch 37/50, Avg Loss: 0.06765696169300513, Accuracy: 0.9830117767865064, Recall: 0.9019528630946277, Precision: 0.8753907835661605, F1: 0.8882232259961008
Valid - Epoch 37/50, Avg Loss: 0.11157132419092315, Accuracy: 0.9823629448424431, Recall: 0.8964730735354965, Precision: 0.872603778746302, F1: 0.8841440281562403
Train - Epoch 38/50, Avg Loss: 0.06578286158398164, Accuracy: 0.9832007681448766, Recall: 0.9040524678817293, Precision: 0.8757529605231672, F1: 0.8894101850012357
Valid - Epoch 38/50, Avg Loss: 0.11339391767978668, Accuracy: 0.9826417355334801, Recall: 0.8981557149143706, Precision: 0.8739983992379468, F1: 0.8857008704775067
Train - Epoch 39/50, Avg Loss: 0.06491697631961058, Accuracy: 0.9833188877438579, Recall: 0.9061971320660113, Precision: 0.8766178054081554, F1: 0.8909374856906894
Valid - Epoch 39/50, Avg Loss: 0.10820020309516362, Accuracy: 0.9826072410920468, Recall: 0.9012779259515566, Precision: 0.8730338326375396, F1: 0.8866885262744718
Train - Epoch 40/50, Avg Loss: 0.06464361159269474, Accuracy: 0.9834553815026807, Recall: 0.9045253391504378, Precision: 0.8757537287206956, F1: 0.8896629839440577
Valid - Epoch 40/50, Avg Loss: 0.11091698493276324, Accuracy: 0.9828718559852345, Recall: 0.8991093373967174, Precision: 0.8737602174733429, F1: 0.8860459894299734
Train - Epoch 41/50, Avg Loss: 0.0622332754337098, Accuracy: 0.9842123968881523, Recall: 0.9110127787631119, Precision: 0.882760691669446, F1: 0.8964334285960366
Valid - Epoch 41/50, Avg Loss: 0.11070012460861887, Accuracy: 0.9834516461172726, Recall: 0.9055632323206313, Precision: 0.8784001982811773, F1: 0.891565827632477
Train - Epoch 42/50, Avg Loss: 0.06147018493699633, Accuracy: 0.9842486202318399, Recall: 0.9104352854448008, Precision: 0.8809991718817649, F1: 0.8952531324849241
Valid - Epoch 42/50, Avg Loss: 0.10804946081978935, Accuracy: 0.9834010857716099, Recall: 0.9055707081060386, Precision: 0.875416276367776, F1: 0.8900267485817565
Train - Epoch 43/50, Avg Loss: 0.06190978030651069, Accuracy: 0.9839919069700538, Recall: 0.9092533644592983, Precision: 0.8799153104163047, F1: 0.8941142992553841
Valid - Epoch 43/50, Avg Loss: 0.1113834125655038, Accuracy: 0.983162932367741, Recall: 0.9044645653638425, Precision: 0.8749061672210927, F1: 0.8892149236035353
Train - Epoch 44/50, Avg Loss: 0.059630682399450255, Accuracy: 0.9845772552050057, Recall: 0.9128377447750083, Precision: 0.8850795688664016, F1: 0.8985259395720815
Valid - Epoch 44/50, Avg Loss: 0.11024742041315351, Accuracy: 0.9836345139095292, Recall: 0.9077280049119796, Precision: 0.8784993331378765, F1: 0.892617120658954
Train - Epoch 45/50, Avg Loss: 0.06047014147043228, Accuracy: 0.98446543531797, Recall: 0.9138231223135045, Precision: 0.883819176239913, F1: 0.8983663750204718
Valid - Epoch 45/50, Avg Loss: 0.10936660372785159, Accuracy: 0.9837772169412125, Recall: 0.9085537955670774, Precision: 0.8799562678193515, F1: 0.8938349825961202
Train - Epoch 46/50, Avg Loss: 0.0591600008986213, Accuracy: 0.9846250280205937, Recall: 0.9139210775534602, Precision: 0.885811773137073, F1: 0.899403456868943
Valid - Epoch 46/50, Avg Loss: 0.11707012887511935, Accuracy: 0.9839657550526087, Recall: 0.9071691361314348, Precision: 0.8831560925457677, F1: 0.8948087116160268
Train - Epoch 47/50, Avg Loss: 0.057229511070349987, Accuracy: 0.9852130011355231, Recall: 0.9188259560706806, Precision: 0.887898820551002, F1: 0.9029087175649558
Valid - Epoch 47/50, Avg Loss: 0.11523494869470596, Accuracy: 0.9842955786159034, Recall: 0.9124646329707476, Precision: 0.8828464590180733, F1: 0.897199355195463
Train - Epoch 48/50, Avg Loss: 0.056195821151260504, Accuracy: 0.9854765390852503, Recall: 0.9193977719867689, Precision: 0.8899070970260033, F1: 0.9041997228496199
Valid - Epoch 48/50, Avg Loss: 0.11438297906092235, Accuracy: 0.9845625561420661, Recall: 0.9131269968923201, Precision: 0.8852746236139865, F1: 0.8987526385118568
Train - Epoch 49/60, Avg Loss: 0.0568412585445672, Accuracy: 0.9851715280318808, Recall: 0.9170733491230083, Precision: 0.8878051989429658, F1: 0.9019712150323391
Valid - Epoch 49/60, Avg Loss: 0.12083587316530091, Accuracy: 0.9844666332432855, Recall: 0.9088805358465216, Precision: 0.8856765895007973, F1: 0.8969548206515224
Train - Epoch 50/60, Avg Loss: 0.054192030448312604, Accuracy: 0.9858965198816284, Recall: 0.9228901353810917, Precision: 0.8937069624070929, F1: 0.9078676933711397
Valid - Epoch 50/60, Avg Loss: 0.11754263352070536, Accuracy: 0.9850780826571871, Recall: 0.9150269607859147, Precision: 0.8909791171738712, F1: 0.902669999012084
Train - Epoch 51/60, Avg Loss: 0.055271504031232564, Accuracy: 0.9856513560917427, Recall: 0.9214619941456021, Precision: 0.8911035397288409, F1: 0.9058132154287298
Valid - Epoch 51/60, Avg Loss: 0.11955274428640093, Accuracy: 0.9848063798650748, Recall: 0.9147799001273883, Precision: 0.8871816186681037, F1: 0.9006099060230452
Train - Epoch 52/60, Avg Loss: 0.05403831384090845, Accuracy: 0.9859925904888, Recall: 0.9218573510626585, Precision: 0.8937583183590648, F1: 0.9073988709506561
Valid - Epoch 52/60, Avg Loss: 0.12115245365670749, Accuracy: 0.9851173023645703, Recall: 0.9139942014977209, Precision: 0.8905854988547318, F1: 0.9019750669215698
Train - Epoch 53/60, Avg Loss: 0.05355845819696907, Accuracy: 0.9860387883764015, Recall: 0.9213706793740329, Precision: 0.8909004340804995, F1: 0.9056753813193774
Valid - Epoch 53/60, Avg Loss: 0.1133756653538772, Accuracy: 0.9851328957422046, Recall: 0.9144864825700735, Precision: 0.8866075258693648, F1: 0.9001542087881972
Train - Epoch 54/60, Avg Loss: 0.053271514602190206, Accuracy: 0.9860891860719668, Recall: 0.923824094823309, Precision: 0.8949531949891751, F1: 0.9089335233985496
Valid - Epoch 54/60, Avg Loss: 0.11323488769786698, Accuracy: 0.9850865881358968, Recall: 0.9181750841237435, Precision: 0.8876006710648877, F1: 0.9023893969756683
Train - Epoch 55/60, Avg Loss: 0.051453026873636835, Accuracy: 0.9864330453490014, Recall: 0.9264600929198277, Precision: 0.89577382811879, F1: 0.910652106226937
Valid - Epoch 55/60, Avg Loss: 0.11443348122494561, Accuracy: 0.9854731148905889, Recall: 0.9198826105627319, Precision: 0.890154482406388, F1: 0.904576608963824
